episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,total_reward,average_reward
87,10.019999999999875,-136.260008354,24.144596043,150.368640591,6.01740885738,2.67717446693,0.0,-24.7086644906,4.04531248951,-25.1611538764,0.0401022301128,0.0888999438158,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,121.947587207,31045.7022254,185.902408536
88,9.119999999999894,9.10607187793,62.5479324639,300.0,1.49577036001,0.652286572433,0.0,-9.87773690558,15.5627093381,131.318920909,0.248461705261,0.263307634597,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-66.4065533185,26254.1590872,172.724730837
89,7.979999999999918,2.92391293747,-116.316494043,300.0,1.13578903893,5.75565217186,0.0,18.6037241189,-368.85135024,707.082651429,0.582732714585,-0.141950346665,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-85.5227738045,25244.0659376,189.80500705
90,5.279999999999975,42.6650060677,44.7651080874,300.0,1.80246596648,4.33516853052,0.0,27.5821427072,366.099319437,1829.78733258,0.386638984394,-0.639663413296,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-52.4401606981,17993.167162,204.467808659
91,6.1199999999999575,-82.1019008524,150.0,272.962255744,2.92588734382,2.96757718427,0.0,-2.43232745414,2015.94785686,568.046923104,0.746554491188,0.759123418432,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-57.2999300962,19803.3182356,194.150178781
92,8.519999999999907,-133.775967901,13.2609183548,300.0,2.24574092004,3.19343238969,0.0,-20.6870857413,153.358522971,259.554027185,0.301603146543,0.662974940112,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-96.5619373188,24527.9604853,172.732116094
93,8.699999999999903,11.2311177775,-150.0,186.191965879,6.11373643815,0.684415309339,0.0,-17.9594445377,-122.519789607,-7.17591677087,0.299985361367,0.187811152843,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,66.2042006822,27469.0987253,189.442060175
94,7.499999999999928,-92.2741666579,-150.0,300.0,0.761965199014,0.488078143159,0.0,-43.9438955724,-2268.40047186,2170.59992482,0.031429364159,0.11568316246,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-119.568187059,23522.2300054,188.177840043
95,5.339999999999974,26.6246801278,101.403674983,300.0,2.04810099953,5.76416251475,0.0,15.0496063846,1555.51817871,3302.94612307,0.640419591293,-0.172652713965,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-70.8401816944,18294.1943743,205.552745779
96,8.39999999999991,-150.0,37.4069554782,101.032844246,1.31378830081,2.04430195251,0.0,-31.7835216214,-1.19651837353,-19.2114516712,0.21788750874,0.123530155408,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,159.71704671,28899.4885233,206.424918023
97,10.019999999999875,-144.100291535,-123.218260602,113.528081335,4.21388792095,0.287536083102,0.0,-34.5512658116,-9.16363037403,-37.918464802,-0.369688023329,-0.040488514593,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,116.604420923,31174.4466825,186.673333428
98,9.059999999999896,-150.0,69.7566678064,135.526286289,1.59755898468,2.51377118463,0.0,-35.7663116165,-6.34248145637,-15.2924089812,0.154447522058,0.624733896939,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,115.371308793,29029.4017577,192.24769376
